Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,TTL,TCP Flags,Payload Size,Attack Type,Interarrival Time,Packet Count
1743689377.9730766,192.168.68.99,192.168.233.27,17,53,59641,554,64,None,2,Normal,0.01058053970336914,79
1743689377.9730766,192.168.68.99,192.168.233.27,17,53,59641,540,64,None,512,UDP Flood,0.0,80
1743689377.9785833,192.168.68.99,192.168.233.27,17,53,34230,540,64,None,512,UDP Flood,0.005506753921508789,81
1743689377.9805539,192.168.68.99,192.168.233.27,17,53,34230,554,64,None,2,Normal,0.001970529556274414,82
1743689377.984561,192.168.68.99,192.168.233.27,17,53,1975,554,64,None,2,Normal,0.004007101058959961,83
1743689377.9865987,192.168.68.99,192.168.233.27,17,53,1975,540,64,None,512,UDP Flood,0.0020377635955810547,84
1743689377.988965,192.168.68.99,192.168.233.27,17,53,9718,554,64,None,2,Normal,0.002366304397583008,85
1743689377.988965,192.168.68.99,192.168.233.27,17,53,9718,540,64,None,512,UDP Flood,0.0,86
1743689377.988965,192.168.68.99,192.168.233.27,17,53,30165,554,64,None,2,Normal,0.0,87
1743689377.988965,192.168.68.99,192.168.233.27,17,53,30165,540,64,None,512,UDP Flood,0.0,88
1743689377.988965,192.168.68.99,192.168.233.27,17,53,18760,554,64,None,2,Normal,0.0,89
1743689377.988965,192.168.68.99,192.168.233.27,17,53,18760,540,64,None,512,UDP Flood,0.0,90
1743689378.0046268,192.168.68.99,192.168.233.27,17,53,36147,554,64,None,2,Normal,0.01566171646118164,91
1743689378.0046268,192.168.68.99,192.168.233.27,17,53,36147,540,64,None,512,UDP Flood,0.0,92
1743689378.0046268,192.168.68.99,192.168.233.27,17,53,17053,554,64,None,2,Normal,0.0,93
1743689378.0046268,192.168.68.99,192.168.233.27,17,53,17053,540,64,None,512,UDP Flood,0.0,94
1743689378.0046268,192.168.68.99,192.168.233.27,17,53,17199,554,64,None,2,Normal,0.0,95
1743689378.0203097,192.168.68.99,192.168.233.27,17,53,17199,540,64,None,512,UDP Flood,0.01568293571472168,96
1743689378.0203097,192.168.68.99,192.168.233.27,17,53,59919,554,64,None,2,Normal,0.0,97
1743689378.0203097,192.168.68.99,192.168.233.27,17,53,59919,540,64,None,512,UDP Flood,0.0,98
1743689378.0359623,192.168.68.99,192.168.233.27,17,53,58224,554,64,None,2,Normal,0.01565265655517578,99
1743689378.0359623,192.168.68.99,192.168.233.27,17,53,58224,540,64,None,512,UDP Flood,0.0,100
1743689378.0359623,192.168.68.99,192.168.233.27,17,53,11507,554,64,None,2,Normal,0.0,101
1743689378.0359623,192.168.68.99,192.168.233.27,17,53,11507,540,64,None,512,UDP Flood,0.0,102
1743689378.0514736,192.168.68.99,192.168.233.27,17,53,25110,554,64,None,2,Normal,0.015511274337768555,103
1743689378.0514736,192.168.68.99,192.168.233.27,17,53,25110,540,64,None,512,UDP Flood,0.0,104
1743689378.0514736,192.168.68.99,192.168.233.27,17,53,26337,554,64,None,2,Normal,0.0,105
1743689378.0514736,192.168.68.99,192.168.233.27,17,53,26337,540,64,None,512,UDP Flood,0.0,106
1743689378.0671015,192.168.68.99,192.168.233.27,17,53,64119,554,64,None,2,Normal,0.01562786102294922,107
1743689378.0671015,192.168.68.99,192.168.233.27,17,53,64119,540,64,None,512,UDP Flood,0.0,108
1743689378.0731244,192.168.68.99,192.168.233.27,17,53,59603,554,64,None,2,Normal,0.006022930145263672,109
1743689378.0731244,192.168.68.99,192.168.233.27,17,53,59603,540,64,None,512,UDP Flood,0.0,110
1743689378.0731244,192.168.68.99,192.168.233.27,17,53,11180,554,64,None,2,Normal,0.0,111
1743689378.0731244,192.168.68.99,192.168.233.27,17,53,11180,540,64,None,512,UDP Flood,0.0,112
1743689378.0832047,192.168.68.99,192.168.233.27,17,53,26867,554,64,None,2,Normal,0.010080337524414062,113
1743689378.0832047,192.168.68.99,192.168.233.27,17,53,26867,540,64,None,512,UDP Flood,0.0,114
1743689378.0832047,192.168.68.99,192.168.233.27,17,53,42127,554,64,None,2,Normal,0.0,115
1743689378.0832047,192.168.68.99,192.168.233.27,17,53,42127,540,64,None,512,UDP Flood,0.0,116
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,4050,554,64,None,2,Normal,0.015766620635986328,117
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,4050,540,64,None,512,UDP Flood,0.0,118
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,59550,554,64,None,2,Normal,0.0,119
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,59550,540,64,None,512,UDP Flood,0.0,120
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,29977,554,64,None,2,Normal,0.0,121
1743689378.0989714,192.168.68.99,192.168.233.27,17,53,29977,540,64,None,512,UDP Flood,0.0,122
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,10100,554,64,None,2,Normal,0.015627145767211914,123
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,10100,540,64,None,512,UDP Flood,0.0,124
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,4077,554,64,None,2,Normal,0.0,125
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,4077,540,64,None,512,UDP Flood,0.0,126
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,35184,554,64,None,2,Normal,0.0,127
1743689378.1145985,192.168.68.99,192.168.233.27,17,53,35184,540,64,None,512,UDP Flood,0.0,128
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,10443,554,64,None,2,Normal,0.015607833862304688,129
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,10443,540,64,None,512,UDP Flood,0.0,130
1743689378.1302063,192.168.68.99,192.168.233.27,17,53,56663,554,64,None,2,Normal,0.0,131
